Step	dt	Time	fbody_x	fbody_y	fbody_z	dy_tip	
0	1e-16	0	0	0	0	-3.41733e-07	
1	1e-16	0	0	-1.05e+06	0	-3.41733e-07	
2	0.00018619	1e-16	0	-1.05e+06	0	-3.50084e-05	
3	0.000186117	0.00018619	0	-1.05e+06	0	-0.000104301	
4	0.000185986	0.000372307	0	-1.05e+06	0	-0.000208136	
5	0.000185804	0.000558293	0	-1.05e+06	0	-0.000346391	
6	0.000185576	0.000744096	0	-1.05e+06	0	-0.000518917	
7	0.000185309	0.000929673	0	-1.05e+06	0	-0.000725533	
8	0.000185005	0.00111498	0	-1.05e+06	0	-0.000966038	
9	0.00018467	0.00129999	0	-1.05e+06	0	-0.00124021	
10	0.000184305	0.00148466	0	-1.05e+06	0	-0.00154781	
11	0.000183916	0.00166896	0	-1.05e+06	0	-0.00188858	
12	0.000183506	0.00185288	0	-1.05e+06	0	-0.00226227	
13	0.000183079	0.00203638	0	-1.05e+06	0	-0.00266861	
14	0.000182637	0.00221946	0	-1.05e+06	0	-0.00310732	
15	0.000182185	0.0024021	0	-1.05e+06	0	-0.00357814	
16	0.000181725	0.00258429	0	-1.05e+06	0	-0.00408079	
17	0.00018126	0.00276601	0	-1.05e+06	0	-0.00461501	
18	0.000180792	0.00294727	0	-1.05e+06	0	-0.00518054	
19	0.000180323	0.00312806	0	-1.05e+06	0	-0.00577712	
20	0.000179856	0.00330839	0	-1.05e+06	0	-0.0064045	
21	0.000179391	0.00348824	0	-1.05e+06	0	-0.00706244	
22	0.00017893	0.00366763	0	-1.05e+06	0	-0.00775071	
23	0.000178473	0.00384656	0	-1.05e+06	0	-0.00846907	
24	0.000178022	0.00402504	0	-1.05e+06	0	-0.0092173	
25	0.000177576	0.00420306	0	-1.05e+06	0	-0.0099952	
26	0.000177137	0.00438063	0	-1.05e+06	0	-0.0108025	
27	0.000176703	0.00455777	0	-1.05e+06	0	-0.0116391	
28	0.000176276	0.00473447	0	-1.05e+06	0	-0.0125048	
29	0.000175854	0.00491075	0	-1.05e+06	0	-0.0133993	
30	0.000175438	0.0050866	0	-1.05e+06	0	-0.0143225	
31	0.000175028	0.00526204	0	-1.05e+06	0	-0.0152741	
32	0.000174622	0.00543707	0	-1.05e+06	0	-0.016254	
33	0.00017422	0.00561169	0	-1.05e+06	0	-0.017262	
34	0.000173823	0.00578591	0	-1.05e+06	0	-0.018298	
35	0.000173429	0.00595973	0	-1.05e+06	0	-0.0193616	
36	0.000173039	0.00613316	0	-1.05e+06	0	-0.0204529	
37	0.000172651	0.0063062	0	-1.05e+06	0	-0.0215714	
38	0.000172265	0.00647885	0	-1.05e+06	0	-0.0227172	
39	0.000171882	0.00665112	0	-1.05e+06	0	-0.0238899	
40	0.0001715	0.006823	0	-1.05e+06	0	-0.0250895	
41	0.00017112	0.0069945	0	-1.05e+06	0	-0.0263157	
42	0.000170742	0.00716562	0	-1.05e+06	0	-0.0275683	
